id,liste,region,nuance,candidat,voix_tour_1,contient_nom_candidat,!,Action,Alliance,Anticapitaliste,Centre,Changement,Conduite,Construire,Demain,Droite,Ecologie,Ensemble,Europe,Force,France,Front,Gauche,Independant,Juste,Lutte,Moderne,National,Nouveau,Oser,Ouvriere,PC,Progres,PS,Rassemblement,Solidaire,Soutenue,Tete,Tous,UMP,Union,Extreme
,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A GAUCHE AVEC ALAIN LE VERN : J'AIME MA REGION (TETE DE LISTE PS, LISTE PS, AUTRE GAUCHE)///HAUTE-NORMANDIE","A GAUCHE AVEC ALAIN LE VERN : J'AIME MA REGION (TETE DE LISTE PS, LISTE PS, AUTRE GAUCHE)",HAUTE-NORMANDIE,SOC-autreG,LE VERN,199345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"A GAUCHE MAINTENANT ! (TETE DE LISTE PC, LISTE PC, PARTI DE GAUCHE ET NOUVEAU PARTI ANTICAPITALISTE)///LANGUEDOC-ROUSSILLON","A GAUCHE MAINTENANT ! (TETE DE LISTE PC, LISTE PC, PARTI DE GAUCHE ET NOUVEAU PARTI ANTICAPITALISTE)",LANGUEDOC-ROUSSILLON,COM,REVOL,76417,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"A GAUCHE TOUTE! NE RIEN LACHER, TOUT CHANGER. (NOUVEAU PARTI ANTICAPITALISTE)///CENTRE","A GAUCHE TOUTE! NE RIEN LACHER, TOUT CHANGER. (NOUVEAU PARTI ANTICAPITALISTE)",CENTRE,EXG,LASSERRE,19308,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGEG: POUR UNE GUYANE FORTE, RECONCILIEE, EPANOUIE (TETE DE LISTE DIVERS GAUCHE, LISTE DIVERS GAUCHE)///GUYANE","AGEG: POUR UNE GUYANE FORTE, RECONCILIEE, EPANOUIE (TETE DE LISTE DIVERS GAUCHE, LISTE DIVERS GAUCHE)",GUYANE,DVG,BERTHELOT,1532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AGIR VRAIMENT AVEC CHRISTOPHE BECHU (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE)///PAYS DE LA LOIRE","AGIR VRAIMENT AVEC CHRISTOPHE BECHU (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE)",PAYS DE LA LOIRE,UMP,BECHU,386465,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
ALLIANCE DEMOCRATE ET ECOLOGISTE AU CENTRE AVEC FRANCOIS BAYROU (MODEM)///PROVENCE-ALPES-COTE D'AZUR,ALLIANCE DEMOCRATE ET ECOLOGISTE AU CENTRE AVEC FRANCOIS BAYROU (MODEM),PROVENCE-ALPES-COTE D'AZUR,MODEM,LEVRAUD,35473,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALLIANCE ECOLOGISTE INDEPENDANTE - GENERATION LANGUEDOC-ROUSSILLON (TETE DE LISTE ECOLOGISTE, LISTE ECOLOGISTES INDEPENDANTS ET GENERATION ECOLOGIE)///LANGUEDOC-ROUSSILLON","ALLIANCE ECOLOGISTE INDEPENDANTE - GENERATION LANGUEDOC-ROUSSILLON (TETE DE LISTE ECOLOGISTE, LISTE ECOLOGISTES INDEPENDANTS ET GENERATION ECOLOGIE)",LANGUEDOC-ROUSSILLON,ECO,DREVET,34440,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALLIANCE ECOLOGISTE INDEPENDANTE AQUITAINE///AQUITAINE,ALLIANCE ECOLOGISTE INDEPENDANTE AQUITAINE,AQUITAINE,ECO,CHRETIEN,20289,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALLIANCE ECOLOGISTE INDEPENDANTE BOURGOGNE (TETE DE LISTE ECOLOGISTE, LISTE DIVERS ECOLOGISTES)///BOURGOGNE","ALLIANCE ECOLOGISTE INDEPENDANTE BOURGOGNE (TETE DE LISTE ECOLOGISTE, LISTE DIVERS ECOLOGISTES)",BOURGOGNE,ECO,GONZALEZ,9454,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
